model,sigma,control_error,ocd_error,difference
RLModel_BroadGeneralization,0.5,0.17684775889558274,0.15803105983984042,-0.01881669905574232
RLModel_BroadGeneralization,0.7142857142857143,0.1609338883104822,0.16206367203776967,0.0011297837272874756
RLModel_BroadGeneralization,0.9285714285714286,0.13866052371735232,0.1595530724351989,0.02089254871784657
RLModel_BroadGeneralization,1.1428571428571428,0.1593750481446387,0.15760285936300103,-0.0017721887816376791
RLModel_BroadGeneralization,1.3571428571428572,0.15382584999282492,0.14608825741704914,-0.007737592575775776
RLModel_BroadGeneralization,1.5714285714285714,0.13637741261760902,0.15408262990339694,0.017705217285787916
RLModel_BroadGeneralization,1.7857142857142856,0.1450866833539739,0.14983479738544686,0.004748114031472961
RLModel_BroadGeneralization,2.0,0.16834558962845902,0.15819997074633693,-0.010145618882122093
RLModel_BroadGeneralization,2.2142857142857144,0.18161507755986983,0.17050121736520754,-0.01111386019466229
RLModel_BroadGeneralization,2.4285714285714284,0.17267974802366065,0.18785847057739427,0.01517872255373362
RLModel_BroadGeneralization,2.642857142857143,0.186419826513217,0.1968879688457867,0.01046814233256968
RLModel_BroadGeneralization,2.857142857142857,0.22482548230518212,0.1735381665821743,-0.05128731572300782
RLModel_BroadGeneralization,3.071428571428571,0.20573453399131902,0.20630027677654628,0.0005657427852272523
RLModel_BroadGeneralization,3.2857142857142856,0.2236901307586991,0.22957868654538705,0.0058885557866879545
RLModel_BroadGeneralization,3.5,0.22835396830994156,0.22997686749114657,0.0016228991812050064
RLModel_ImpairedSafety,0.5,0.15568062385119366,0.2643516973775855,0.10867107352639185
RLModel_ImpairedSafety,0.7142857142857143,0.1530934368575213,0.2518541030377924,0.09876066618027107
RLModel_ImpairedSafety,0.9285714285714286,0.1653110268153169,0.21865017628172376,0.05333914946640686
RLModel_ImpairedSafety,1.1428571428571428,0.14919737341324066,0.21065880252905125,0.061461429115810595
RLModel_ImpairedSafety,1.3571428571428572,0.1421010401930187,0.2161697727274856,0.07406873253446691
RLModel_ImpairedSafety,1.5714285714285714,0.15107426393685297,0.20585388905762503,0.05477962512077206
RLModel_ImpairedSafety,1.7857142857142856,0.17196933246899396,0.21128494989860505,0.039315617429611094
RLModel_ImpairedSafety,2.0,0.16417823136775803,0.2100814102639804,0.04590317889622236
RLModel_ImpairedSafety,2.2142857142857144,0.16120846984103987,0.2084203821177156,0.04721191227667573
RLModel_ImpairedSafety,2.4285714285714284,0.1857758647512438,0.22997924413270632,0.044203379381462515
RLModel_ImpairedSafety,2.642857142857143,0.18418165672658623,0.2369946445520509,0.052812987825464675
RLModel_ImpairedSafety,2.857142857142857,0.21090578897096346,0.23786711448371553,0.02696132551275207
RLModel_ImpairedSafety,3.071428571428571,0.210267624535382,0.2567169899575142,0.04644936542213218
RLModel_ImpairedSafety,3.2857142857142856,0.22832914334712753,0.2643125858480872,0.03598344250095967
RLModel_ImpairedSafety,3.5,0.2251180806566116,0.28739852849687486,0.062280447840263264
BayesianModel_UncertaintyAverse,0.5,0.17807562180424316,0.1905550518404831,0.012479430036239941
BayesianModel_UncertaintyAverse,0.7142857142857143,0.17174614236431457,0.1844064483416766,0.012660305977362035
BayesianModel_UncertaintyAverse,0.9285714285714286,0.174658441669442,0.17841095678654967,0.0037525151171076687
BayesianModel_UncertaintyAverse,1.1428571428571428,0.1900525335543302,0.19616164461616145,0.006109111061831263
BayesianModel_UncertaintyAverse,1.3571428571428572,0.1976338256364545,0.19747051944920269,-0.0001633061872518271
BayesianModel_UncertaintyAverse,1.5714285714285714,0.19389497379636964,0.20220889255117697,0.008313918754807331
BayesianModel_UncertaintyAverse,1.7857142857142856,0.2123085999282384,0.2190185013159528,0.0067099013877144065
BayesianModel_UncertaintyAverse,2.0,0.23230372985146303,0.23536605804175217,0.0030623281902891486
BayesianModel_UncertaintyAverse,2.2142857142857144,0.2466858772448072,0.247446314568504,0.0007604373236967943
BayesianModel_UncertaintyAverse,2.4285714285714284,0.2697473673126101,0.26568584352872404,-0.0040615237838860785
BayesianModel_UncertaintyAverse,2.642857142857143,0.27260461327083063,0.27843818051689195,0.005833567246061322
BayesianModel_UncertaintyAverse,2.857142857142857,0.3046634410234802,0.30229100132617565,-0.0023724396973045514
BayesianModel_UncertaintyAverse,3.071428571428571,0.33340021416121757,0.31875484168499024,-0.014645372476227325
BayesianModel_UncertaintyAverse,3.2857142857142856,0.3389468790166177,0.32728760231882054,-0.01165927669779715
BayesianModel_UncertaintyAverse,3.5,0.3653822569798131,0.3610146230337201,-0.004367633946092964
